first_author,year,title,ecology_score,governance_score,socioecon_score,aquaculture_present,wind_present,wave_present,tidal_present,other_present
Buck et al,2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,0,3,2,yes,yes,no,no,no
Buck et al,2008,Meeting the quest for spatial efficiency: progress and prospects of extensive aquaculture within offshore wind farms,0,0,3,yes,yes,no,no,no
Michler-Cieluch and Krause,2008,Perceived concerns and possible management strategies for governing ‘wind farm–mariculture integration’,0,1,2,yes,yes,no,no,no
Michler-Cieluch and Krause,2009,Reflections on integrating operation and maintenance activities of offshore wind farms and maricultur,0,0,2,yes,yes,no,no,no
Lacroix and Pioch,2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,0,0,1,yes,yes,no,no,yes
Azzellino,2013,Optimal siting of offshore wind-power combined with wave energy through a marine spatial planning approach,1,0,0,no,yes,yes,no,no
Benassai et al,2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,3,0,0,yes,yes,no,no,no
Christie et al,2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,0,3,0,yes,yes,no,no,no
Macadré et al,2014,Risk-Based Approach for the Development of Guidelines and Standards on Combined Marine Renewable Energy Platforms,0,2,0,no,yes,yes,no,no
Gimple et al,2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,4,0,0,yes,yes,no,no,no
Maisondieu and Heal,2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,0,0,0,no,yes,yes,yes,no
O'Donncha et al,2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,0,0,0,yes,no,no,yes,no
Onea and Rusu,2015,Coastal impact of a hybrid marine farm operating close to the Sardina Island,2,0,0,no,yes,yes,no,no
Pérez-Collazo et al,2015,A review of combined wave and offshore wind energy,1,1,1,no,yes,yes,no,no
Wever et al,2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",0,1,3,yes,yes,no,no,no
Zanuttigh et al,2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",4,0,2,yes,yes,yes,yes,no
Astariz and Iglesias,2016,Selecting optimum locations for co-located wave and wind energy farms. Part I: The Co-Location Feasibility index,2,2,0,no,yes,yes,no,no
Cradden et al,2016,Multi-criteria site selection for offshore renewable energy platforms,2,0,0,no,yes,yes,no,no
Jansen et al,2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,4,2,1,yes,yes,no,no,yes
Le Heron et al,2016,Non-sectarian scenario experiments in socio-ecological knowledge building for multi-use marine environments: Insights from New Zealand's Marine Futures project,0,1,2,no,no,no,no,no
Stelzenmüller et al,2016,Co-location of passive gear fisheries in offshore wind farms in the German EEZ of the North Sea: A first socio-economic scoping,0,0,0,no,yes,yes,no,no
Stuiver et al,2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,0,2,0,yes,yes,yes,yes,no
van den Burg et al,2016,Participatory Design of Multi-Use Platforms at Sea,0,0,0,yes,yes,yes,no,no
Zanuttigh et al,2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,0,2,0,yes,yes,yes,no,no
Astariz and Iglesias,2017,The collocation feasibility index – A method for selecting sites for co-located wave and wind farms,2,0,0,no,yes,yes,no,no
Bas et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Baltic Sea,2,2,3,yes,yes,no,no,no
Cao et al,2017,Hybrid renewable energy system for ocean going platforms,1,0,0,no,yes,yes,no,yes
Castro-Santos et al,2017,Economic comparison of technological alternatives to harness offshore wind and wave energies,0,0,1,no,yes,yes,no,no
Elginoz & Bas,2017,Life Cycle Assessment of a multi-use offshore platform: Combining wind and wave energy,1,0,0,no,yes,yes,no,no
Koundouri et al,2017,Introduction to the MERMAID Project,0,0,2,yes,yes,yes,yes,yes
Koundouri et al,2017,Methodology for Integrated Socio-economic Assessment of Multi-use Offshore Platforms,0,0,0,yes,yes,yes,no,no
Koundouri et al,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the Mediterranean Sea,5,2,3,yes,yes,yes,no,no
O'Donncha et al,2017,Modelling study of the effects of suspended aquaculture installations on tidal stream generation in Cobscook Bay,1,0,0,yes,no,no,yes,no
Onea et al,2017,Assessment of the potential for developing combined wind-wave projects in the European nearshore,2,0,0,no,yes,yes,no,no
Pringle et al,2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,2,2,0,yes,no,no,no,yes
Simal et al,2017,Socio-economic Assessment of a Selected Multi-use Offshore Site in the Atlantic,0,3,3,no,yes,yes,no,no
Söderqvist,2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,0,3,2,yes,yes,no,no,no
Xepapadeas et al,2017,Risk Analysis for the Selected MERMAID Final Designs,0,0,0,yes,yes,yes,no,no
Lande-Sudal et al,2018,Co-located offshore wind and tidal stream turbines: Assessment of energy yield and loading,0,0,0,no,yes,no,yes,no
Legorburu et al,2018,Multi-use maritime platforms - North Sea oil and offshore wind: Opportunity and risk,1,0,1,no,yes,no,no,yes
Mohammed et al,2018,Economical Evaluation and Optimal Energy Management of a Stand-Alone Hybrid Energy System Handling in Genetic Algorithm Strategies,0,0,2,no,yes,no,yes,yes
Roy et al,2018,Electrical Power Supply of Remote Maritime Areas: A Review of Hybrid Systems Based on Marine Renewable Energies,0,0,2,no,yes,yes,yes,yes
Shyam Kularathna and Takagi,2018,"Factors Behind Local Acceptability of Marine Renewable Energy Projects and Perceived Preferences of Possible Co-Existence Options: Case Study of Marine Renewable Energy Development in Nagasaki, Japan",0,0,1,no,yes,no,yes,no
Sie et al,2018,"Stakeholders Opinions on Multi-Use Deep Water Offshore Platform in Hsiao-Liu-Chiu, Taiwan",2,0,2,yes,yes,no,no,yes
Tawil et al,2018,Sizing and rough optimization of a hybrid renewable-based farm in a stand-alone marine context,1,0,0,no,yes,no,yes,yes
Tullio et. al,2018,Sustainable use of marine resources through offshore wind and mussel farm co-location,3,0,0,yes,yes,no,no,no
Weiss,2018,Marine renewable energy potential: A global perspective for offshore wind and wave exploitation,2,1,0,no,yes,yes,no,no
Weiss et. al,2018,Co-location opportunities for renewable energies and aquaculture facilities in the Canary Archipelago,3,0,0,yes,yes,no,no,no
Azzellino,2019,Combined Exploitation of Offshore Wind and Wave Energy in the Italian Seas: A Spatial Planning Approach,2,0,0,no,yes,yes,no,no
Bocci et al,2019,Multi-use of the sea: A wide array of opportunities from site-specific cases across Europe,0,2,2,yes,yes,yes,yes,yes
Bonnevie et al,2019,Assessing use-use interactions at sea: A theoretical framework for spatial decision support tools facilitating co-location in maritime spatial planning,0,0,1,yes,no,no,no,yes
Buhagiar et al,2019,Small-scale Experimental Testing of a Novel Marine Floating Platform with Integrated Hydro-pneumatic Energy Storage,2,0,0,no,yes,yes,yes,yes
Calado et al,2019,Multi-uses in the Eastern Atlantic: Building bridges in maritime space,0,3,2,yes,yes,yes,yes,yes
Clark et al,2019,An analytical cost model for co-located floating wind-wave energy arrays,0,0,1,no,yes,yes,no,no
Depellegrin et al,2019,Exploring Multi-Use potentials in the Euro-Mediterranean sea space,0,0,2,yes,yes,no,no,yes
Flikkema and Waals,2019,Space@Sea the Floating Solution,0,0,2,yes,no,no,no,yes
Green at al,2019,Enabling Power at Sea: Opportunities for Expanded Ocean Observations through Marine Renewable Energy Integration,0,0,1,yes,no,yes,yes,yes
Kularathna et al,2019,Evaluation of Co-Existence Options of Marine Renewable Energy Projects in Japan,0,0,1,no,yes,no,yes,no
Lande-Sudal et al,2019,Co-located deployment of offshore wind turbines with tidal stream turbine arrays for improved cost of electricity generation,0,0,1,no,yes,no,yes,no
Schupp et al,2019,Toward a Common Understanding of Ocean Multi-Use,0,1,2,yes,yes,yes,no,yes
Abhinav et al,2020,"Offshore multi-purpose platforms for a Blue Growth: A technological, environmental and socio-economic review",0,0,2,yes,yes,yes,no,yes
Banach et al,2020,Food safety during seaweed cultivation at offshore wind farms: An exploratory study in the North Sea,0,3,0,yes,yes,no,no,no
Benjamins et. al,2020,Integrating Wind Turbines and Fish Farms: An Evaluation of Potential Risks to Marine and Coastal Bird Species,0,0,0,yes,yes,no,no,no
Fenu et al,2020,Analysis of a Gyroscopic-Stabilized Floating Offshore Hybrid Wind-Wave Platform,0,0,0,no,yes,yes,no,no
Gaughan and Fitzgerald,2020,An assessment of the potential for Co-located offshore wind and wave farms in Ireland,2,0,1,no,yes,yes,no,no
Jahangir et al,2020,Feasibility study of a zero emission PV/Wind turbine/Wave energy converter hybrid system for stand-alone power supply: A case study,2,0,1,no,yes,yes,no,yes
López et al,2020,Combined Floating Offshore Wind and Solar PV,0,0,1,no,yes,no,no,yes
Nassar et al,2020,Assessment of Multi-Use Offshore Platforms: Structure Classification and Design Challenges,0,0,0,yes,yes,yes,yes,yes
Oliveira-Pinto et al,2020,Assessment of the potential of combining wave and solar energy resources to power supply worldwide offshore oil and gas platforms,0,0,1,no,no,yes,no,yes
Onyango et al,2020,Is Demonstrating the Concept of Multi-Use Too Soon for the North Sea? Barriers and Opportunities from a Stakeholder Perspective,0,3,3,yes,yes,yes,yes,yes
van den Burg et al,2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,0,1,3,yes,yes,yes,no,yes
van Hoof,2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,0,1,0,yes,yes,yes,no,yes
